0,0,0,200
0,0,0,400
0,0,0,600
0,412,0,800
0,9364,118,1000
2,888,300,1200
2,245,348,1400
34,205,445,1600
434,200,479,1800
1354,183,474,2000
2828,213,555,2200
4579,195,548,2400
6379,220,550,2600
7962,215,549,2800
9142,243,595,3000
9852,236,518,3200
10293,251,528,3400
10698,242,525,3600
10841,240,523,3800
10514,228,518,4000
10834,231,522,4200
10576,229,458,4400
10263,250,473,4600
10223,220,484,4800
10152,216,481,5000
9748,240,430,5200
9597,209,456,5400
9458,206,441,5600
9027,202,401,5800
8784,212,396,6000
8487,217,369,6200
8183,158,384,6400
7789,176,346,6600
7690,158,353,6800
7341,175,326,7000
6835,173,297,7200
6978,141,273,7400
6663,152,300,7600
6340,144,268,7800
6189,110,249,8000
5779,117,263,8200
5550,128,231,8400
5397,121,228,8600
5128,126,207,8800
4831,99,179,9000
4669,103,214,9200
4623,112,167,9400
4344,102,182,9600
4100,85,162,9800
3969,97,155,10000
3821,90,162,10200
3639,72,129,10400
3389,82,122,10600
3217,61,144,10800
3213,61,136,11000
2950,64,102,11200
2871,50,113,11400
2759,65,120,11600
2579,51,93,11800
2520,53,83,12000
2345,41,59,12200
2273,44,78,12400
2009,37,77,12600
1991,39,89,12800
1876,42,72,13000
1689,42,63,13200
1659,39,57,13400
1582,34,65,13600
1488,25,55,13800
1412,20,63,14000
1341,33,51,14200
1259,28,39,14400
1199,20,40,14600
1167,24,45,14800
1134,23,41,15000
972,14,42,15200
964,21,31,15400
893,16,41,15600
908,18,25,15800
800,17,29,16000
792,10,27,16200
767,13,29,16400
729,17,29,16600
682,10,29,16800
655,13,24,17000
630,12,22,17200
523,12,23,17400
541,13,14,17600
538,6,20,17800
499,15,17,18000
457,19,10,18200
434,6,20,18400
447,4,13,18600
390,12,20,18800
418,9,23,19000
380,7,16,19200
361,10,24,19400
352,8,15,19600
362,12,17,19800
302,8,17,20000
327,8,12,20200
295,5,17,20400
297,6,17,20600
232,4,6,20800
285,3,6,21000
277,4,14,21200
237,8,10,21400
207,5,13,21600
252,5,11,21800
231,3,12,22000
213,5,6,22200
202,5,10,22400
199,7,6,22600
191,8,11,22800
193,3,5,23000
169,5,8,23200
168,4,8,23400
160,4,7,23600
151,1,12,23800
139,3,4,24000
141,4,6,24200
150,4,7,24400
149,5,7,24600
151,3,5,24800
114,3,7,25000
129,1,6,25200
107,1,6,25400
108,5,8,25600
116,6,4,25800
114,2,3,26000
101,5,2,26200
119,1,3,26400
111,2,3,26600
112,0,7,26800
107,2,5,27000
117,0,2,27200
112,4,4,27400
109,1,10,27600
111,4,5,27800
113,3,3,28000
116,0,8,28200
113,3,7,28400
113,1,2,28600
105,1,3,28800
100,3,2,29000
129,0,1,29200
104,4,3,29400
119,2,1,29600
102,1,2,29800
107,2,4,30000
108,0,5,30200
104,0,1,30400
92,1,4,30600
80,2,1,30800
92,0,5,31000
103,2,2,31200
94,0,5,31400
99,1,4,31600
82,2,2,31800
88,1,2,32000
92,0,2,32200
89,1,1,32400
86,0,1,32600
82,2,0,32800
100,1,1,33000
80,1,1,33200
73,2,3,33400
89,0,2,33600
79,0,1,33800
92,2,2,34000
88,0,2,34200
83,3,1,34400
94,1,2,34600
92,2,0,34800
91,2,2,35000
82,2,0,35200
96,0,0,35400
64,3,0,35600
82,0,0,35800
61,1,4,36000
67,1,0,36200
79,5,1,36400
52,0,1,36600
55,1,0,36800
61,0,1,37000
51,2,0,37200
54,2,2,37400
57,0,2,37600
52,0,1,37800
47,0,0,38000
58,0,1,38200
42,1,0,38400
27,0,0,38600
39,2,0,38800
31,1,0,39000
47,0,0,39200
41,0,2,39400
29,2,1,39600
28,1,0,39800
31,1,1,40000
21,0,1,40200
28,0,1,40400
20,0,2,40600
25,0,0,40800
25,0,0,41000
30,0,0,41200
17,0,0,41400
14,1,0,41600
